iso,code,v_2021,v_latest,year_latest,indicator,tag,economy
PHL,FB.ATM.TOTL.P5,29.0404050612851,27.8445692139854,2024.0,B8_atm_p100k,X,Philippines
PHL,FB.CBK.BRCH.P5,8.89138951674097,8.08637788193146,2024.0,B7_bank_branches_p100k,X,Philippines
PHL,FS.AST.PRVT.GD.ZS,49.9413249106511,49.8449977717705,2024.0,D4_domestic_credit_priv_gdp,X,Philippines
PHL,IT.CEL.SETS.P2,144.424289981649,115.298749599352,2024.0,A2_mobile_subs_p100,X,Philippines
PHL,IT.NET.BBND.P2,8.50897715713263,7.13893301204977,2024.0,A3_fixed_bbnd_p100,X,Philippines
PHL,IT.NET.SECR.P6,133.650513103559,131.556605552984,2024.0,A6_secure_servers_p1m,X,Philippines
PHL,IT.NET.USER.ZS,66.90779877,67.26300914,2024.0,A1_internet_use_pct,X,Philippines
PHL,NY.GNP.PCAP.CD,3570.0,4470.0,2024.0,D1_gni_pc_atlas,scale,Philippines
PHL,SL.TLF.CACT.ZS,56.471,61.402,2024.0,D3_labor_participation_pct,X,Philippines
PHL,SP.URB.TOTL.IN.ZS,54.4504102510776,55.4520983215477,2024.0,D2_urban_pct,X,Philippines
THA,FB.ATM.TOTL.P5,104.824437320499,93.0302183963717,2024.0,B8_atm_p100k,X,Thailand
THA,FB.CBK.BRCH.P5,9.35415100467224,8.01998751107904,2024.0,B7_bank_branches_p100k,X,Thailand
THA,FS.AST.PRVT.GD.ZS,164.142023585507,146.295079842162,2024.0,D4_domestic_credit_priv_gdp,X,Thailand
THA,IT.CEL.SETS.P2,168.485285358167,160.639312286761,2024.0,A2_mobile_subs_p100,X,Thailand
THA,IT.NET.BBND.P2,17.3168855632327,14.8870491187484,2024.0,A3_fixed_bbnd_p100,X,Thailand
THA,IT.NET.SECR.P6,2134.31889534104,3149.99672587537,2024.0,A6_secure_servers_p1m,X,Thailand
THA,IT.NET.USER.ZS,85.26956666,90.86718789,2024.0,A1_internet_use_pct,X,Thailand
THA,NY.GNP.PCAP.CD,7100.0,7130.0,2024.0,D1_gni_pc_atlas,scale,Thailand
THA,SE.ADT.LITR.ZS,,91.0999984741211,2022.0,D5_adult_literacy_pct,X,Thailand
THA,SL.TLF.CACT.ZS,66.952,67.129,2024.0,D3_labor_participation_pct,X,Thailand
THA,SP.URB.TOTL.IN.ZS,58.5087776184082,61.8689338391321,2024.0,D2_urban_pct,X,Thailand
VNM,FB.ATM.TOTL.P5,27.2070978043162,27.2434250522194,2024.0,B8_atm_p100k,X,Viet Nam
VNM,FB.CBK.BRCH.P5,2.92952332268588,3.09669381955115,2024.0,B7_bank_branches_p100k,X,Viet Nam
VNM,FS.AST.PRVT.GD.ZS,124.282898747665,124.961478822546,2022.0,D4_domestic_credit_priv_gdp,X,Viet Nam
VNM,IT.CEL.SETS.P2,136.806313165021,127.606471743496,2024.0,A2_mobile_subs_p100,X,Viet Nam
VNM,IT.NET.BBND.P2,19.5362327330994,23.711259212336,2024.0,A3_fixed_bbnd_p100,X,Viet Nam
VNM,IT.NET.SECR.P6,3846.57222455068,5733.7485681175,2024.0,A6_secure_servers_p1m,X,Viet Nam
VNM,IT.NET.USER.ZS,74.20999985,84.15,2024.0,A1_internet_use_pct,X,Viet Nam
VNM,NY.GNP.PCAP.CD,3540.0,4490.0,2024.0,D1_gni_pc_atlas,scale,Viet Nam
VNM,SE.ADT.LITR.ZS,,96.129997253418,2022.0,D5_adult_literacy_pct,X,Viet Nam
VNM,SL.TLF.CACT.ZS,73.738,73.134,2024.0,D3_labor_participation_pct,X,Viet Nam
VNM,SP.URB.TOTL.IN.ZS,36.6540656426603,38.4900703430176,2024.0,D2_urban_pct,X,Viet Nam
